Year,Company,Industry,Country,Company_Type,Employee_Size,Revenue_USD,Uses_AI,Use_Case,AI_ROI_Percent,AI_Maturity_Score
2020,Amazon,E-commerce,USA,Real,Enterprise,453546411457.22,Yes,Autonomous Driving,30.33,77
2021,Amazon,E-commerce,USA,Real,Enterprise,487803518161.22,Yes,Generative AI,19.09,81
2022,Amazon,E-commerce,USA,Real,Enterprise,218250038723.05,Yes,Supply Chain Optimization,34.99,79
2023,Amazon,E-commerce,USA,Real,Enterprise,411413209032.38,Yes,Chatbots,23.96,72
2024,Amazon,E-commerce,USA,Real,Enterprise,319196981151.42,No,None,0.0,27
2025,Amazon,E-commerce,USA,Real,Enterprise,201766884512.89,Yes,Autonomous Driving,19.47,96
2020,Apple,Technology,USA,Real,Enterprise,79654626907.74,Yes,Supply Chain Optimization,19.56,77
2021,Apple,Technology,USA,Real,Enterprise,334416638921.46,Yes,Robotics,39.46,96
2022,Apple,Technology,USA,Real,Enterprise,407248269503.16,Yes,Chatbots,13.94,94
2023,Apple,Technology,USA,Real,Enterprise,400674620665.79,Yes,Fraud Detection,20.0,87
2024,Apple,Technology,USA,Real,Enterprise,445209890957.47,Yes,Predictive Maintenance,39.35,98
2025,Apple,Technology,USA,Real,Enterprise,487029941714.66,Yes,AI Trading,21.3,89
2020,Microsoft,Technology,USA,Real,Enterprise,128736758386.59,Yes,Medical Imaging AI,19.72,97
2021,Microsoft,Technology,USA,Real,Enterprise,130139592679.04,Yes,Autonomous Driving,30.19,91
2022,Microsoft,Technology,USA,Real,Enterprise,454118235410.83,Yes,Fraud Detection,13.06,79
2023,Microsoft,Technology,USA,Real,Enterprise,471384778510.83,Yes,Autonomous Driving,29.97,83
2024,Microsoft,Technology,USA,Real,Enterprise,31595326863.61,Yes,Generative AI,32.11,77
2025,Microsoft,Technology,USA,Real,Enterprise,483162088653.9,Yes,Generative AI,36.93,93
2020,Google,Technology,USA,Real,Enterprise,467198022518.0,Yes,Chatbots,18.98,73
2021,Google,Technology,USA,Real,Enterprise,407939791019.9,Yes,Demand Forecasting,36.21,92
2022,Google,Technology,USA,Real,Enterprise,442249773827.02,Yes,Demand Forecasting,27.59,91
2023,Google,Technology,USA,Real,Enterprise,430616032386.57,Yes,Robotics,13.53,89
2024,Google,Technology,USA,Real,Enterprise,253303055942.11,Yes,Supply Chain Optimization,11.16,96
2025,Google,Technology,USA,Real,Enterprise,328139917467.42,Yes,Predictive Maintenance,13.36,74
2020,Walmart,Retail,USA,Real,Enterprise,16783350450.9,Yes,Autonomous Driving,18.15,86
2021,Walmart,Retail,USA,Real,Enterprise,261119457913.56,Yes,AI Trading,30.32,85
2022,Walmart,Retail,USA,Real,Enterprise,477358914802.1,Yes,Demand Forecasting,35.81,82
2023,Walmart,Retail,USA,Real,Enterprise,355059037020.49,Yes,Recommendation Systems,30.1,88
2024,Walmart,Retail,USA,Real,Enterprise,137814253789.61,No,None,0.0,37
2025,Walmart,Retail,USA,Real,Enterprise,262529414920.63,No,None,0.0,10
2020,Tesla,Automotive,USA,Real,Enterprise,230307288266.79,Yes,Customer Segmentation,16.9,81
2021,Tesla,Automotive,USA,Real,Enterprise,439911775845.86,Yes,Fraud Detection,15.18,84
2022,Tesla,Automotive,USA,Real,Enterprise,219041815203.15,Yes,Chatbots,12.55,72
2023,Tesla,Automotive,USA,Real,Enterprise,176085114859.74,Yes,Robotics,16.86,96
2024,Tesla,Automotive,USA,Real,Enterprise,133621822272.9,Yes,AI Trading,22.91,77
2025,Tesla,Automotive,USA,Real,Enterprise,346754160773.29,Yes,Robotics,18.17,76
2020,JPMorgan Chase,Finance,USA,Real,Enterprise,308770565040.04,Yes,Customer Segmentation,30.18,93
2021,JPMorgan Chase,Finance,USA,Real,Enterprise,153806053366.98,Yes,Chatbots,18.53,93
2022,JPMorgan Chase,Finance,USA,Real,Enterprise,404793385469.64,Yes,Demand Forecasting,39.77,82
2023,JPMorgan Chase,Finance,USA,Real,Enterprise,338508866098.28,No,None,0.0,25
2024,JPMorgan Chase,Finance,USA,Real,Enterprise,63150132183.08,No,None,0.0,20
2025,JPMorgan Chase,Finance,USA,Real,Enterprise,68088293509.17,Yes,Demand Forecasting,34.81,71
2020,Goldman Sachs,Finance,USA,Real,Enterprise,309294305927.4,Yes,Demand Forecasting,21.79,73
2021,Goldman Sachs,Finance,USA,Real,Enterprise,491362499696.07,Yes,Fraud Detection,39.75,86
2022,Goldman Sachs,Finance,USA,Real,Enterprise,208435672143.75,Yes,Supply Chain Optimization,11.33,75
2023,Goldman Sachs,Finance,USA,Real,Enterprise,175628692869.95,Yes,Generative AI,21.22,97
2024,Goldman Sachs,Finance,USA,Real,Enterprise,55334758960.45,Yes,Recommendation Systems,16.51,89
2025,Goldman Sachs,Finance,USA,Real,Enterprise,160315509955.78,Yes,Supply Chain Optimization,26.06,88
2020,Toyota,Automotive,Japan,Real,Enterprise,462597357563.51,Yes,AI Trading,15.21,75
2021,Toyota,Automotive,Japan,Real,Enterprise,18082912593.22,Yes,Chatbots,21.82,94
2022,Toyota,Automotive,Japan,Real,Enterprise,345148455154.7,Yes,Customer Segmentation,16.14,96
2023,Toyota,Automotive,Japan,Real,Enterprise,38064154432.38,Yes,Autonomous Driving,20.21,81
2024,Toyota,Automotive,Japan,Real,Enterprise,108709060791.29,Yes,Supply Chain Optimization,27.85,93
2025,Toyota,Automotive,Japan,Real,Enterprise,291974717392.63,Yes,Generative AI,34.57,76
2020,Samsung,Technology,South Korea,Real,Enterprise,209732233700.32,Yes,Supply Chain Optimization,15.95,70
2021,Samsung,Technology,South Korea,Real,Enterprise,173948749727.44,Yes,Recommendation Systems,20.91,98
2022,Samsung,Technology,South Korea,Real,Enterprise,403431907789.6,Yes,Medical Imaging AI,25.02,85
2023,Samsung,Technology,South Korea,Real,Enterprise,350580864108.08,No,None,0.0,32
2024,Samsung,Technology,South Korea,Real,Enterprise,170988187159.67,Yes,Demand Forecasting,39.97,86
